"affiliator","affiliatee"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x56bfd1e96556d3407f3c65a9890862ffd8f86282724c1226a6333e817b1d7d0c"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xa8504d8b8e748bc9b3730f16889af96b6a0b3e528bb85d4232cf85074888ac28"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x043e15a8476eab4356dd1fddb9ddeb1a3115e9d37c1eb691ea1a919773c4945b"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x604af5f3921db5b5d415bb4b659b9b0486a0dfa3bb5222b2d80aba61ad92577e"
"0xfebea01bea78ad25d6e4c63769fc75483f37d24e95a331bbfecba64da6eb0440","0x962cc132352ef5aaeef0732f73d1f90e61733f4d38a0c94496848ea3620e931d"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xc61c6c54991d50125f5b306dfd119d95108766c22543a3a158195c745658a554"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x3895c0f689c3f72bc5204e15fbddbcd8ac14ac296225090a43dae870bf0c9522"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xac0d7f77726aff08d22fa5b638059c1ea8dbc35a499273198a09cd8c135e450e"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xd05fc8b691689e1cb77b9a4c37c2fad1a3870a850ef5b744750d232e863ac64e"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x04781420ad42e23e5f24f7d923d12d226196b78da70f0d8cd0ecdbc58f8c2d49"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x42345d3bdd6ccd778da5be5b388bb8cbd45aa4b7c35e0cef2483ecb0a6238905"
"0x0e8bdcb5e573b9bb11b9f3a54b754d3b8f4181dec8cba010bb42c0d1147fa51c","0x6666a89e65e2feff6844be9a7213f07f3efc53f959d1bdb0d21516faaff55c6a"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x4a33e6f5781fdc23cfd1f6672a381cc3beb2f13a2b1c025a5f0977763e2ceb4c"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x103e6de4bffc9866b96576ce977dfd4be07ff4b8e861bf19433a565cebceea1f"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x5e7fefe4fdb9669dee63d321936ad7852ac0b3fec4ef9681a2bedde37afd9126"
"0x4e400555d8ee1d4752be47eff37195a8926a2fae9f874773ac49cdc2fa47f703","0x58bf77e408b9d51823c1ade65aa1b15aa793f0f64ebbf98901744d5e79617b1b"
"0x882b785abbf4fe64a4dbc68cc91fa90a87dbb0c8d1cbf3fd8ad0618f713d836f","0xd855fc3f96a16dbbed480cab0a9954b4ae3c9a3ad00f4c86f35a36a6ebdeab3d"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x2acb3b077fadc7d34dc255321df38b592200552e00217dd474590478114e8043"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x28ca9ff8ab749bee742bb70ab89ca0346cb7e92622422ffdb51d0498cb059e70"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x50a88493218b7bae1d26c76bab319a22b45205e6a1131676f8a7754ac5053b44"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x2e1b3affa5307f9cf3826fda962a1eb7c4642ab77050c0c62f4cc34281c38947"
